seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,269,34,1.226850018e-05,5.823498231e-08,-2.867681981,0.03055667303
0,269,50,0.0001855809101,3.978796704e-05,2.114405983,0.7987115558
0,270,5,0.0002225180787,7.062418677e-05,2.267121911,0.4672666715
0,270,17,0.00116113103,0.0002238248676,0.8687710207,0.8318446803
0,270,24,0.9532439301,0.1251076733,-1.286879269,19.66663462
0,270,34,0.0001261863431,6.360232132e-06,-1.236773745,0.1402247127
0,270,50,0.0001842845643,4.741544117e-06,-2.235128973,0.1210731867
0,271,5,0.0174435257,0.009970486592,-1.584464502,3.003443282
0,271,17,0.0003971313437,2.330803126e-07,2.41951062,0.0145215861
0,271,24,0.02957823311,0.01126105171,-0.0009630300948,3.191910714
0,271,34,0.0001559561785,6.070872822e-09,1.687994591,0.002343618004
0,271,50,0.7440987073,0.3906016164,0.4100572391,18.79871987
0,272,5,0.1164203281,0.09568473049,2.782879765,5.942354872
0,272,17,0.0002937980656,2.968817826e-07,2.844065906,0.01046716426
0,272,24,0.1867394957,0.08743009407,0.09959105982,5.680253759
0,272,34,1.999946378e-05,4.883609908e-08,1.166303283,0.004245293766
0,272,50,0.4578167995,0.3659301509,1.779407168,11.62080898
0,273,5,0.9662858238,0.17758331,1.361095714,68.1656314
0,273,17,2.278869998e-05,1.106643507e-08,-0.2284183659,0.01701642244
0,273,24,0.00107456936,0.0003504066348,0.1605651505,3.027962895
0,273,34,1.358273631e-05,9.413965818e-07,-0.3292914514,0.156946161
0,273,50,0.0004482442075,0.000212501922,0.5476952438,2.358010962
0,274,5,0.0001118147685,7.285248721e-05,-0.04117505463,0.8431608775
0,274,17,0.9724048775,0.07692232937,-0.4040977173,27.39772291
0,274,24,0.00039965976,5.500755513e-05,0.03367038037,0.7326548465
0,274,34,0.002989543925,0.001399251833,2.343503952,3.695185097
0,274,50,0.0003535033647,3.454295519e-05,3.090367292,0.5805879262
0,275,5,0.0001876567665,1.904809544e-05,-3.109322322,0.5099825648
0,275,17,0.973464851,0.0854309157,-1.371993267,34.1536466
0,275,24,6.953296249e-05,2.045043994e-05,0.8176897432,0.5284219838
0,275,34,0.005342921211,0.001996350559,0.4236170644,5.220930986
0,275,50,7.123257436e-05,4.2652101e-05,1.919174034,0.7631321742
0,276,5,0.0001524205315,2.869720242e-05,-3.046558089,0.5236160081
0,276,17,0.9727809637,0.08206728356,1.543099862,28.00129803
0,276,24,0.0003100577411,9.189697778e-05,-0.7880602026,0.9370089719
0,276,34,0.002944057236,0.001418490771,-0.02834530369,3.681343919
0,276,50,0.0001727827826,9.086564037e-05,-2.064023767,0.9317362247
0,277,5,0.0001120051049,4.506062459e-05,1.063089894,1.258505203
0,277,17,2.733387955e-05,5.820688723e-08,1.238244973,0.04523177171
0,277,24,0.006019381417,0.0006806850042,-2.814806399,4.891358599
0,277,34,3.143070084e-06,1.043609803e-08,-1.34466567,0.01915250069
0,277,50,0.9736340715,0.1006530318,0.657050383,59.47984695
0,278,5,0.09758749241,0.0949626507,-0.8952588723,13.10470932
0,278,17,0.003514904078,3.584969967e-07,2.413785862,0.02546207182
0,278,24,0.8038327074,0.3085512084,0.1894469461,23.62188787
0,278,34,0.0002950532474,6.17095103e-08,1.634681428,0.01056396681
0,278,50,0.01012309236,0.008947809771,2.406505168,4.022623155
0,279,5,0.2227213616,0.1106419573,-2.50814618,11.28330996
0,279,17,0.000154339592,7.948537387e-08,2.255937114,0.009563573596
0,279,24,0.1565044283,0.04624564545,-2.8431485,7.294776935
0,279,34,8.151340666e-06,2.741019812e-07,0.8668460366,0.0177595796
0,279,50,0.4104241577,0.2947988591,1.652312572,18.4178738
0,280,5,3.536502686e-05,2.368220527e-05,-0.26394016,0.5844001325
0,280,17,0.006689452589,0.0002345229816,2.267416957,1.839043232
0,280,24,0.9403281353,0.1838580697,2.244411481,51.49209754
0,280,34,1.421687571e-05,9.553668495e-06,1.404803807,0.3711797876
0,280,50,1.605308855e-05,5.497038147e-06,-0.2583310038,0.2815552376
0,281,5,0.0129159175,0.0116689184,2.55082028,4.168021316
0,281,17,0.0005127483043,2.51589728e-07,2.503951975,0.01935356978
0,281,24,0.382683306,0.1581383638,0.1837492735,15.34381135
0,281,34,0.0001869634225,3.451058397e-08,1.387130404,0.007167880956
0,281,50,0.4118188885,0.3594883725,-0.4481056965,23.13433679
0,282,5,0.0001585747814,7.440616711e-05,-2.505594442,1.708576583
0,282,17,2.544002365e-05,8.349961263e-08,-2.88243435,0.05723638726
0,282,24,0.001735309751,6.170922432e-05,0.5771909539,1.555983641
0,282,34,1.092542213e-07,1.170385844e-08,-2.946481715,0.02142863528
0,282,50,0.9660088772,0.1763838571,-1.904636531,83.18775435
0,283,5,0.0006336436805,0.0003183153254,-2.081291337,2.202321367
0,283,17,0.002137286469,6.466355727e-05,2.329119716,0.9926170124
0,283,24,0.9526938692,0.1971325161,-2.698550945,54.80637156
0,283,34,6.028378161e-05,4.743717542e-07,2.229891936,0.08501808706
0,283,50,0.0002959224757,0.0001310905592,1.101084341,1.413310632
0,284,5,0.9694375648,0.1948709722,-0.1791744491,82.53079156
0,284,17,1.753161433e-05,3.008439221e-08,-1.862961861,0.0324274692
0,284,24,0.0009197205998,0.0003420706741,0.2136144527,3.457803872
0,284,34,3.626097672e-06,5.698165867e-07,-2.249948439,0.1411269572
0,284,50,0.0005672938044,0.0002471697192,0.8476798821,2.939273957
0,285,5,0.9766658393,0.1730815383,-0.391232234,85.29244625
0,285,17,8.720988116e-05,2.129905105e-08,-1.710982022,0.02992025734
0,285,24,0.0005838392264,0.0001291208803,-0.04443285064,2.329611151
0,285,34,1.509951437e-05,4.600466742e-07,-2.514371361,0.1390548513
0,285,50,0.000145751203,7.537761144e-05,0.1687157488,1.779944181
0,286,5,0.04467755784,0.02543160643,1.933512273,6.573881184
0,286,17,0.0002163646626,1.384502574e-07,2.749104402,0.01533846279
0,286,24,0.04592361478,0.02301848941,0.07420565401,6.254223013
0,286,34,4.424995693e-05,9.229627997e-09,0.9895250479,0.003960290572
0,286,50,0.689842625,0.4231947245,1.38666801,26.8166841
0,287,5,0.9694071397,0.1174175992,-1.451995739,42.82301661
0,287,17,1.63035928e-05,1.072624894e-07,2.208829682,0.04092932622
0,287,24,0.0003647713902,1.428405285e-05,3.058986389,0.4723200518
0,287,34,9.814611391e-06,3.074222855e-08,-0.4945349522,0.021911814
0,287,50,0.0007673973829,0.0002014715117,-0.8757656438,1.773852408
0,288,5,0.9589841998,0.1832939235,0.3770210464,58.86228671
0,288,17,0.0001371119918,2.582013368e-08,0.2645367535,0.02209237158
0,288,24,0.0010045561,0.0001748761671,0.1867734915,1.818144552
0,288,34,2.185923236e-05,1.177896811e-07,-0.7673953895,0.04718638631
0,288,50,0.0008577422785,0.0004284089573,0.7755715153,2.845721318
0,289,5,0.0001814489849,7.629249256e-05,-2.525043712,1.846362891
0,289,17,2.067487293e-05,4.648891039e-08,-0.9343338516,0.0455775362
0,289,24,0.001418856417,0.0001518480789,0.7994377967,2.604838558
0,289,34,6.477090304e-07,2.174123756e-08,-1.824712332,0.0311686715
0,289,50,0.9661469187,0.1778947709,-2.02420235,89.15747331
0,290,5,0.0001349852048,3.1383325e-05,-2.579743132,0.7174717029
